1,1,0,2,0,2
1,2,0,0,1,2
1,3,1,0,0,2
1,4,0,1,1,2
1,5,0,0,1,2
1,6,0,0,0,2
1,7,0,0,1,2
1,8,1,0,0,2
1,9,0,1,0,2
1,10,0,0,1,2
1,11,0,0,0,2
1,12,0,0,1,2
1,13,0,0,1,2
1,14,1,0,1,2
1,15,0,1,0,2
1,16,1,0,0,2
1,17,0,1,0,2
1,18,0,0,0,2
1,19,1,0,0,2
1,20,0,1,1,2
1,21,0,0,0,2
1,22,0,0,1,2
1,23,0,0,0,2
1,24,0,0,0,2
1,25,0,0,1,2
1,26,0,0,1,2
1,27,0,0,1,2
1,28,1,0,1,2
1,29,0,1,0,2
1,30,2,0,0,2
2,1,1,2,0,0
2,2,1,1,0,1
2,3,1,1,0,0
2,4,0,1,0,1
2,5,1,0,0,1
2,6,0,1,1,0
2,7,1,0,0,1
2,8,1,1,0,0
2,9,0,1,1,0
2,10,1,0,1,1
2,11,1,1,0,0
2,12,0,1,0,1
2,13,0,0,1,1
2,14,0,0,1,1
2,15,1,0,1,0
2,16,1,1,0,0
2,17,1,1,0,0
2,18,1,1,0,0
2,19,0,1,1,0
2,20,1,0,0,1
2,21,0,1,1,0
2,22,1,0,0,1
2,23,1,1,0,0
2,24,1,1,0,0
2,25,0,1,0,1
2,26,0,0,1,1
2,27,0,0,1,1
2,28,0,0,1,1
2,29,1,0,1,0
2,30,2,1,0,0
3,1,1,2,0,0
3,2,1,1,0,0
3,3,1,1,0,0
3,4,1,1,0,0
3,5,0,1,1,0
3,6,0,0,1,1
3,7,1,0,1,0
3,8,0,1,1,0
3,9,0,0,1,1
3,10,1,0,0,1
3,11,0,1,0,0
3,12,1,0,1,0
3,13,0,1,1,1
3,14,0,0,0,1
3,15,1,0,0,1
3,16,0,1,1,0
3,17,1,0,1,0
3,18,1,1,0,0
3,19,1,1,0,1
3,20,0,1,1,0
3,21,1,0,0,1
3,22,1,1,1,0
3,23,1,1,0,0
3,24,1,1,1,0
3,25,0,1,1,0
3,26,1,0,0,1
3,27,0,1,0,1
3,28,0,0,0,1
3,29,1,0,1,1
3,30,2,1,0,0
